序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,900916,凤凰B股,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利约:12,000万元。",120000000.0,186.27,"报告期内,归属于上市公司股东的净利润较上年同期实现扭亏为盈,主要原因如下:(一)主营业务影响报告期内,公司聚焦主营业务发展,积极优化业务结构,持续加强市场开拓,优化生产运营效率,严控成本费用,报告期内,公司主营业务收入稳步增长,盈利能力不断提升,为公司扭亏为盈奠定了坚实基础。(二)非经常损益的影响1、2024年12月7日,公司子公司天津爱赛克车业有限公司(以下简称天津爱赛克)发生意外火灾,导致子公司天津爱赛克的存货、固定资产和子公司天津天任车料有限公司(以下简称天津天任)的固定资产发生重大损失,合并公司计提了天津爱赛克商誉减值准备,对2024年度业绩形成重大影响。本报告期,公司未发生此类事项。2、报告期内,公司子公司天津爱赛克、天津天任合计收到火灾理赔款5,140.50万元。",扭亏,-139093700.0,2026-01-30
2,900916,凤凰B股,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利约:6,200万元。",62000000.0,197.61,"报告期内,归属于上市公司股东的净利润较上年同期实现扭亏为盈,主要原因如下:(一)主营业务影响报告期内,公司聚焦主营业务发展,积极优化业务结构,持续加强市场开拓,优化生产运营效率,严控成本费用,报告期内,公司主营业务收入稳步增长,盈利能力不断提升,为公司扭亏为盈奠定了坚实基础。(二)非经常损益的影响1、2024年12月7日,公司子公司天津爱赛克车业有限公司(以下简称天津爱赛克)发生意外火灾,导致子公司天津爱赛克的存货、固定资产和子公司天津天任车料有限公司(以下简称天津天任)的固定资产发生重大损失,合并公司计提了天津爱赛克商誉减值准备,对2024年度业绩形成重大影响。本报告期,公司未发生此类事项。2、报告期内,公司子公司天津爱赛克、天津天任合计收到火灾理赔款5,140.50万元。",扭亏,-63519500.0,2026-01-30
3,900906,中毅达B,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利约:5,169万元。",51690000.0,341.93,"2025年,公司核心产品季戊四醇价格逐步回升推动毛利率上升,使得公司净利润增长。同时,公司根据市场情况适时对毛利为负的酒精等装置生产计划进行了合理调整,减少亏损。公司本期业绩实现扭亏为盈。",扭亏,-21366000.0,2026-01-30
4,900906,中毅达B,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利约:5,123万元。",51230000.0,463.75,"2025年,公司核心产品季戊四醇价格逐步回升推动毛利率上升,使得公司净利润增长。同时,公司根据市场情况适时对毛利为负的酒精等装置生产计划进行了合理调整,减少亏损。公司本期业绩实现扭亏为盈。",扭亏,-14083900.0,2026-01-30
5,688800,瑞可达,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:28,780万元至31,800万元,同比上年增长:64.2%至81.43%,同比上年增长11,253.05万元至14,273.05万元。",302900000.0,72.815,"2025年年度归属上市公司股东的净利润和扣除非经常性损益后的净利润较上年同期有较大幅度的增长,主要原因是:(1)公司各项业务稳步增长,带动公司订单量持续增加;(2)公司不断推进技术创新、工艺创新和生产自动化,提升产品竞争力和降低成本;(3)公司管理变革初见成效,单位人效持续增长,企业运营效率指标持续优化;(4)公司海外工厂订单较上年同期有所增加,工厂运营能力持续提升;(5)公司新领域业务拓展初见成效。",预增,175269500.0,2026-01-30
6,688800,瑞可达,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:27,420万元至30,310万元,同比上年增长:67.85%至85.54%,同比上年增长11,083.55万元至13,973.55万元。",288650000.0,76.695,"2025年年度归属上市公司股东的净利润和扣除非经常性损益后的净利润较上年同期有较大幅度的增长,主要原因是:(1)公司各项业务稳步增长,带动公司订单量持续增加;(2)公司不断推进技术创新、工艺创新和生产自动化,提升产品竞争力和降低成本;(3)公司管理变革初见成效,单位人效持续增长,企业运营效率指标持续优化;(4)公司海外工厂订单较上年同期有所增加,工厂运营能力持续提升;(5)公司新领域业务拓展初见成效。",预增,163364500.0,2026-01-30
7,688796,百奥赛图,营业收入,"预计2025年1-12月营业收入:136,880.84万元至138,880.84万元,同比上年增长:39.61%至41.65%,同比上年增长38,835.45万元至40,835.45万元。",1378808400.0,40.63,"(一)受益于海外市场的持续拓展,叠加国内生物医药行业的复苏回暖,公司营业收入实现高速增长。(二)高壁垒的技术优势保障业务毛利维持高位,精益化管理举措进一步推动运营效率提升,公司盈利水平得以快速提高。",略增,980453900.0,2026-01-30
8,688796,百奥赛图,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:10,491.93万元至12,491.93万元,同比上年增长:356.81%至443.88%,同比上年增长8,195.13万元至10,195.13万元。",114919300.0,400.345,"(一)受益于海外市场的持续拓展,叠加国内生物医药行业的复苏回暖,公司营业收入实现高速增长。(二)高壁垒的技术优势保障业务毛利维持高位,精益化管理举措进一步推动运营效率提升,公司盈利水平得以快速提高。",预增,22968000.0,2026-01-30
9,688796,百奥赛图,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:16,242.86万元至18,242.86万元,同比上年增长:384.26%至443.88%,同比上年增长12,888.68万元至14,888.68万元。",172428600.0,414.07,"(一)受益于海外市场的持续拓展,叠加国内生物医药行业的复苏回暖,公司营业收入实现高速增长。(二)高壁垒的技术优势保障业务毛利维持高位,精益化管理举措进一步推动运营效率提升,公司盈利水平得以快速提高。",预增,33541800.0,2026-01-30
10,688776,国光电气,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:8,500万元至10,500万元,同比上年下降:280.66%至323.16%,同比上年降低13,205万元至15,205万元。",-95000000.0,-301.91,"(一)本报告期公司销售收入出现下滑,主要受外部客观因素影响。一方面,核工业设备业务受ITER项目及国内重大科研装置建设进度延后制约,相关采购订单未能按期下达;另一方面,微波器件业务中,部分总体单位项目推进节点未达预期,致使订单延迟下发。由于上述客观原因导致客户订单量缩减,并叠加部分产品价格下调的影响,最终导致本期营收规模减少。(二)受销售回款不及预期的影响,导致本期计提信用减值损失增加,影响本期业绩。",首亏,47050000.0,2026-01-30
